Wall time,Step,Value
1744720311,20,40.276577
1744720318,40,1219.245361
1744720325,60,196.6074677
1744720333,80,98.18156433
1744720340,100,56.39378738
1744720347,120,1.255933046
1744720355,140,29.00037193
1744720362,160,207.4861145
1744720369,180,126.8061523
1744720376,200,539.2543945
1744720387,220,407.2475891
1744720394,240,2.028650045
1744720401,260,6.093209267
1744720408,280,155.8441467
1744720415,300,21.50506401
1744720423,320,124.859436
1744720430,340,85.15631104
1744720437,360,0.1647417992
1744720444,380,52.2707634
1744720451,400,56.76422119
1744720459,420,2.092143297
1744720466,440,160.4359131
1744720473,460,0.02145344578
1744720480,480,21.66619873
1744720488,500,193.5093231
1744720495,520,778.1016846
1744720502,540,175.9106445
1744720510,560,164.1227875
1744720517,580,141.7444763
1744720524,600,130.4700317
1744720531,620,686.2001953
1744720543,640,739.3427124
1744720550,660,64.59499359
1744720557,680,690.6731567
1744720565,700,5.579007626
1744720572,720,175.6950378
1744720579,740,157.9986725
1744720586,760,4.06937933
1744720594,780,800.651001
1744720601,800,1582.524414
1744720608,820,66.66469574
1744720615,840,5.53039217
1744720622,860,589.8027344
1744720630,880,150.8506165
1744720637,900,606.2047119
1744720645,920,21.85900688
1744720652,940,778.8456421
1744720659,960,350.5708313
1744720667,980,101.0202255
1744720674,1000,308.4216614
1744720681,1020,625.178894
1744720689,1040,32.77210236
1744720696,1060,250.4009247
1744720703,1080,98.93660736
1744720710,1100,13.85497475
1744720718,1120,1848.818359
1744720725,1140,590.8863525
1744720732,1160,623.2167358
1744720740,1180,51.87722397
1744720747,1200,350.3611755
1744720754,1220,292.5814819
1744720762,1240,44.79117966
1744720769,1260,892.6218872
1744720776,1280,488.3809509
1744720783,1300,1892.183594
1744720791,1320,43.20477295
1744720798,1340,42.69115067
1744720805,1360,166.3448334
1744720813,1380,46.56149292
1744720820,1400,15.72012806
1744720827,1420,23.55523491
1744720834,1440,319.5521545
1744720842,1460,8.893978119
1744720849,1480,837.3651733
1744720856,1500,92.32367706
1744720863,1520,325.6193848
1744720871,1540,120.0664291
1744720878,1560,389.3078918
1744720885,1580,938.0054932
1744720892,1600,475.0071411
1744720899,1620,6.669727325
1744720906,1640,5.705310345
1744720913,1660,270.7370605
1744720921,1680,1254.661011
1744720928,1700,676.6246338
1744720935,1720,1088.022949
1744720943,1740,223.9200287
1744720950,1760,621.6727295
1744720957,1780,18.00454521
1744720964,1800,784.5609131
1744720972,1820,174.530014
1744720979,1840,215.1264191
1744720986,1860,215.9403534
1744720993,1880,963.1550903
1744721001,1900,546.8137207
1744721008,1920,282.9754639
1744721015,1940,934.4215088
1744721023,1960,32.61499786
1744721030,1980,896.8937378
1744721037,2000,313.7182617
1744721044,2020,859.7491455
1744721052,2040,385.8020325
1744721059,2060,1287.895752
1744721066,2080,230.1401367
1744721074,2100,18.11823273
1744721082,2120,114.7640762
1744721089,2140,90.48266602
1744721097,2160,735.1212769
1744721104,2180,381.6487427
1744721112,2200,108.3949966
1744721119,2220,609.2838745
1744721126,2240,133.0962982
1744721133,2260,16.108778
1744721140,2280,235.7635803
1744721147,2300,525.5485229
1744721155,2320,357.5785217
1744721162,2340,161.0375061
1744721169,2360,38.93202972
1744721176,2380,65.11351776
1744721183,2400,2.379106998
1744721191,2420,121.4034195
1744721198,2440,170.9431152
1744721205,2460,585.7211304
1744721213,2480,89.64200592
1744721221,2500,124.6741486
1744721228,2520,132.9975433
1744721235,2540,271.7565613
1744721242,2560,580.6102295
1744721249,2580,158.5635529
1744721257,2600,284.5405884
1744721264,2620,188.1320038
1744721272,2640,90.3611145
1744721279,2660,579.4991455
1744721287,2680,73.42016602
1744721294,2700,116.1195908
1744721301,2720,1264.196167
1744721309,2740,1305.147705
1744721316,2760,558.8046265
1744721323,2780,104.5932159
1744721330,2800,840.12677
1744721338,2820,102.6161728
1744721345,2840,87.32631683
1744721352,2860,1646.322266
1744721359,2880,892.4477539
1744721366,2900,22.71265793
1744721374,2920,800.9642944
1744721382,2940,379.9447937
1744721389,2960,181.5609589
1744721397,2980,145.6932373
1744721405,3000,646.3445435
1744721412,3020,87.24024963
1744721419,3040,878.3074341
1744721427,3060,120.4225616
1744721434,3080,970.5499268
1744721442,3100,428.5379028
1744721449,3120,85.28805542
1744721456,3140,339.35849
1744721463,3160,568.7346802
1744721471,3180,690.6448364
1744721478,3200,617.6766968
1744721486,3220,354.6853943
1744721493,3240,186.3649445
1744721500,3260,0.1475546509
1744721508,3280,964.517395
1744721515,3300,247.9645538
1744721522,3320,792.1973877
1744721529,3340,176.7311401
1744721537,3360,112.5326157
1744721544,3380,473.1708069
1744721552,3400,522.7269897
1744721559,3420,341.8446655
1744721566,3440,22.63750839
1744721574,3460,1662.359985
1744721581,3480,185.8739319
1744721588,3500,8.254732132
1744721596,3520,117.5142136
1744721603,3540,185.0126495
1744721611,3560,40.13689804
1744721618,3580,14.99709797
1744721625,3600,10.78804111
1744721633,3620,27.76481438
1744721640,3640,11.37461853
1744721647,3660,49.64020538
1744721654,3680,72.46832275
1744721661,3700,58.79932785
1744721669,3720,351.9554138
1744721676,3740,3325.497803
1744721683,3760,2.964992523
1744721690,3780,76.33097076
1744721697,3800,210.7351837
1744721705,3820,162.6658936
1744721712,3840,1117.531372
1744721719,3860,29.39748001
1744721727,3880,511.1933594
1744721734,3900,799.5041504
1744721742,3920,303.9544983
1744721750,3940,337.6080933
1744721758,3960,345.1165771
1744721765,3980,330.0882568
1744721773,4000,96.11478424
1744721780,4020,796.8724976
1744721788,4040,986.6593018
1744721795,4060,781.3707275
1744721802,4080,887.3204956
1744721810,4100,869.0304565
1744721817,4120,215.2319336
1744721824,4140,466.5665588
1744721831,4160,749.9996948
1744721839,4180,356.7560425
1744721847,4200,282.8789063
1744721854,4220,1202.675537
1744721861,4240,119.8592453
1744721869,4260,713.3262939
1744721876,4280,955.2316284
1744721883,4300,404.0222473
1744721891,4320,804.4970093
1744721898,4340,48.02223587
1744721905,4360,218.804184
1744721913,4380,450.1048889
1744721920,4400,163.4496307
1744721927,4420,556.4938354
1744721935,4440,489.3144531
1744721942,4460,604.4721069
1744721949,4480,323.9994507
1744721956,4500,706.0112305
1744721964,4520,652.9492798
1744721971,4540,746.8084106
1744721978,4560,681.6515503
1744721985,4580,707.4359741
1744721993,4600,168.9182587
1744722000,4620,336.8886414
1744722008,4640,912.9187622
1744722015,4660,489.1293945
1744722023,4680,93.72829437
1744722030,4700,576.3751831
1744722037,4720,305.2844849
1744722044,4740,3044.281006
1744722051,4760,362.1781616
1744722058,4780,4.091070175
1744722066,4800,744.8116455
1744722073,4820,841.0898438
1744722081,4840,874.067688
1744722088,4860,373.1305237
1744722096,4880,763.954834
1744722103,4900,541.6661377
1744722111,4920,571.6446533
1744722118,4940,949.3388672
1744722125,4960,251.7609863
1744722133,4980,20.15689659
1744722140,5000,514.9746094
1744722147,5020,669.1432495
1744722156,5040,259.7023926
1744722163,5060,783.0836182
1744722170,5080,221.0205536
1744722177,5100,573.6950073
1744722184,5120,359.5223083
1744722191,5140,2288.282471
1744722199,5160,837.4581909
1744722206,5180,1575.171753
1744722213,5200,170.4266205
1744722220,5220,0.3064818978
1744722228,5240,3196.883789
1744722235,5260,976.9703369
1744722243,5280,186.5067139
1744722250,5300,33.66606522
1744722257,5320,680.2775269
1744722264,5340,242.002121
1744722272,5360,319.3448181
1744722279,5380,391.4061584
1744722286,5400,194.8141022
1744722294,5420,533.2866821
1744722301,5440,379.8786621
1744722308,5460,6.355891705
1744722315,5480,794.8505859
1744722323,5500,1467.312744
1744722330,5520,794.5777588
1744722338,5540,310.8493652
1744722345,5560,109.410965
1744722352,5580,15.66081429
1744722360,5600,209.1955109
1744722367,5620,808.1720581
1744722375,5640,584.0592651
1744722382,5660,722.7927246
1744722389,5680,683.5357666
1744722397,5700,666.6204834
1744722404,5720,889.6534424
1744722412,5740,353.5006714
1744722419,5760,736.7055054
1744722426,5780,987.1954956
1744722434,5800,4.349689484
1744722441,5820,416.7137756
1744722448,5840,559.3866577
1744722455,5860,892.492981
1744722462,5880,118.6193237
1744722469,5900,382.9803772
1744722476,5920,10.90826511
1744722484,5940,1225.649414
1744722491,5960,1145.424683
1744722498,5980,4.407414913
1744722506,6000,92.9373703
1744722513,6020,47.61964035
1744722520,6040,662.0126953
1744722528,6060,6.408878326
1744722535,6080,30.42068863
1744722542,6100,953.7520752
1744722550,6120,519.961853
1744722557,6140,623.3439331
1744722565,6160,54.11183548
1744722572,6180,978.4625244
1744722579,6200,8.017841339
1744722586,6220,68.58905029
1744722594,6240,493.3683777
1744722601,6260,631.1599121
1744722608,6280,495.1653748
1744722615,6300,55.32341385
1744722622,6320,719.138916
1744722630,6340,297.1274109
1744722638,6360,462.8841858
1744722645,6380,494.5830078
1744722652,6400,62.6817627
1744722660,6420,17.8022747
1744722668,6440,59.3667717
1744722675,6460,0.7265484929
1744722682,6480,320.6325684
1744722689,6500,438.631073
1744722697,6520,542.9186401
1744722704,6540,638.885437
1744722712,6560,1097.412598
1744722719,6580,689.65802
1744722726,6600,229.0486908
1744722734,6620,117.0660782
1744722741,6640,429.0327148
1744722748,6660,17.12249756
1744722755,6680,3.116504431
1744722763,6700,871.7619019
1744722770,6720,0.5713269114
1744722777,6740,888.0699463
1744722784,6760,328.6794128
1744722791,6780,2.00520134
1744722798,6800,13.25773144
1744722806,6820,158.1750031
1744722814,6840,145.5944824
1744722821,6860,905.3533325
1744722828,6880,431.3339539
1744722836,6900,688.8440552
1744722843,6920,545.2185059
1744722850,6940,713.0758667
1744722858,6960,709.9710083
1744722865,6980,403.9022827
1744722873,7000,18.84754944
1744722880,7020,155.6427155
1744722887,7040,8.490901947
1744722894,7060,284.5597534
1744722901,7080,601.9284058
1744722909,7100,1502.470093
1744722916,7120,2010.226563
1744722923,7140,1723.166016
1744722930,7160,79.55488586
1744722937,7180,277.1190796
1744722945,7200,1.700165391
1744722952,7220,115.1389542
1744722959,7240,358.3417664
1744722966,7260,588.465271
1744722974,7280,84.0776062
1744722981,7300,2.039366961
1744722988,7320,590.0014648
1744722996,7340,545.9637451
1744723003,7360,634.6680298
1744723010,7380,173.9403534
1744723017,7400,830.4619141